"Account.Length","VMail.Message","Day.Mins","Eve.Mins","Night.Mins","Intl.Mins","CustServ.Calls","Int.l.Plan","VMail.Plan","Day.Calls","Day.Charge","Eve.Calls","Eve.Charge","Night.Calls","Night.Charge","Intl.Calls","Intl.Charge","Area.Code","Churn","rpart","ada","rf","ksvm","glm","nnet","kmeans"
70,0,7.9,136.4,156.6,12.1,0,0,0,100,1.34,83,11.59,89,7.05,1,3.27,415,0,"0","0","0","1","0","0","3"
120,0,177.2,270.4,231.5,14,2,0,0,88,30.12,99,22.98,90,10.42,2,3.78,415,0,"0","0","0","0","0","0","6"
41,0,182.1,211.5,207.4,6.8,1,0,0,89,30.96,104,17.98,124,9.33,1,1.84,510,0,"0","0","0","0","0","0","6"
73,0,198.3,279.3,146.2,14.8,3,0,0,94,33.71,101,23.74,87,6.58,8,4,415,0,"0","0","0","0","0","0","6"
75,24,225.5,182,270.9,9.4,3,0,1,119,38.34,108,15.47,106,12.19,2,2.54,408,0,"0","0","0","0","0","0","3"
62,0,128.7,169.5,193.6,10.3,1,0,0,111,21.88,104,14.41,97,8.71,5,2.78,408,0,"0","0","0","0","0","0","6"
155,0,190.3,301.3,214.6,8,1,0,0,123,32.35,96,25.61,134,9.66,3,2.16,415,0,"0","0","0","0","0","0","6"
138,0,87.6,266.9,214.6,9.8,2,0,0,112,14.89,107,22.69,104,9.66,10,2.65,415,0,"0","0","0","0","0","0","6"
1,0,182.1,134.9,152.3,10,5,0,0,106,30.96,106,11.47,75,6.85,3,2.7,415,1,"1","0","0","0","0","0","6"
106,37,223.5,235.1,140.1,10.6,2,0,1,104,38,99,19.98,90,6.3,5,2.86,415,0,"0","0","0","0","0","0","3"
114,0,187.8,154.6,213.9,10.1,2,0,0,109,31.93,97,13.14,102,9.63,3,2.73,415,0,"0","0","0","0","0","0","6"
48,36,230.9,167.6,270,7.6,3,0,1,92,39.25,121,14.25,87,12.15,4,2.05,415,0,"0","0","0","0","0","0","3"
38,0,194.4,186.7,223.3,10.8,3,0,0,94,33.05,95,15.87,90,10.05,5,2.92,415,0,"0","0","0","0","0","0","6"
125,0,126.7,206,247.8,13.3,1,0,0,108,21.54,90,17.51,114,11.15,7,3.59,408,0,"0","0","0","0","0","0","6"
109,46,217.5,233.7,163.9,9,4,0,1,123,36.98,84,19.86,99,7.38,3,2.43,415,0,"0","0","0","0","0","0","3"
76,0,299.5,226.7,210.7,13.7,0,0,0,125,50.92,92,19.27,134,9.48,4,3.7,415,1,"1","1","1","0","0","0","6"
111,0,99.3,270.5,225.3,9,3,0,0,112,16.88,136,22.99,94,10.14,6,2.43,408,0,"0","0","0","0","0","0","6"
105,0,213.4,204.9,179.7,9.5,1,0,0,100,36.28,52,17.42,93,8.09,6,2.57,408,0,"0","0","0","0","0","0","6"
165,0,150.5,193.1,311.6,10.3,1,0,0,75,25.59,93,16.41,93,14.02,2,2.78,408,0,"0","0","0","0","0","0","3"
95,0,142.5,176.1,189.6,8.2,2,0,0,109,24.23,107,14.97,88,8.53,3,2.21,510,0,"0","0","0","0","0","0","6"
104,18,182.1,213.6,193,13.4,2,0,1,66,30.96,65,18.16,108,8.69,9,3.62,415,0,"0","0","0","0","0","0","3"
123,0,114.4,216.6,250.6,11,0,0,0,91,19.45,123,18.41,102,11.28,3,2.97,408,0,"0","0","0","0","0","0","6"
87,0,234.8,140.9,204.3,9.5,1,0,0,85,39.92,91,11.98,93,9.19,5,2.57,510,0,"0","0","0","0","0","0","6"
65,0,105.7,141.8,180.5,6.6,2,0,0,95,17.97,100,12.05,105,8.12,12,1.78,415,0,"0","0","0","1","0","0","6"
109,0,217,207,268,8.2,1,0,0,115,36.89,142,17.6,106,12.06,4,2.21,408,0,"0","0","0","0","0","0","6"
33,35,186.8,261,317.8,15,0,0,1,124,31.76,69,22.19,103,14.3,5,4.05,415,0,"0","0","0","0","0","0","3"
36,0,178.6,213.1,198,10.9,1,0,0,83,30.36,103,18.11,119,8.91,5,2.94,510,0,"0","0","0","0","0","0","6"
105,0,115.5,267.3,114.2,13.3,3,0,0,73,19.64,83,22.72,90,5.14,5,3.59,408,0,"0","0","0","0","0","0","6"
74,33,193.7,246.1,138,14.6,2,0,1,91,32.93,96,20.92,92,6.21,3,3.94,510,0,"0","0","0","0","0","0","3"
73,0,160.1,213.3,174.1,13,0,0,0,110,27.22,72,18.13,72,7.83,4,3.51,415,0,"0","0","0","0","0","0","6"
43,0,27,160.9,279.5,10.7,3,0,0,117,4.59,97,13.68,96,12.58,3,2.89,415,0,"0","0","0","1","0","0","3"
119,0,294.2,232.5,195,9,0,0,0,100,50.01,53,19.76,64,8.78,1,2.43,408,1,"1","1","1","0","0","0","6"
130,0,212.8,189.8,170.1,10.6,0,0,0,102,36.18,137,16.13,105,7.65,4,2.86,415,1,"0","0","0","0","0","0","6"
87,0,186.9,182.6,143.1,4.2,1,0,0,79,31.77,105,15.52,90,6.44,14,1.13,408,0,"0","0","0","0","0","0","6"
1,0,123.8,236.2,73.2,3.7,0,0,0,113,21.05,77,20.08,81,3.29,2,1,408,0,"0","0","0","0","0","0","6"
28,0,236.8,167.1,280.2,9.7,3,0,0,102,40.26,87,14.2,115,12.61,3,2.62,415,0,"0","0","0","0","0","0","3"
68,0,232.4,153.3,214.6,10.5,1,0,0,76,39.51,103,13.03,107,9.66,2,2.84,415,0,"0","0","0","0","0","0","6"
73,0,217.8,220.6,277.3,10.3,1,0,0,91,37.03,97,18.75,89,12.48,6,2.78,415,1,"0","0","0","0","0","0","6"
138,29,190.1,223.2,256.2,14.2,0,0,1,87,32.32,123,18.97,130,11.53,6,3.83,415,0,"0","0","0","0","0","0","3"
125,0,169.3,156,210.8,11.6,2,0,0,90,28.78,138,13.26,106,9.49,6,3.13,408,0,"0","0","0","0","0","0","6"
178,0,124.5,141.2,268.2,11.4,2,1,0,134,21.17,78,12,113,12.07,2,3.08,408,1,"1","1","1","0","0","0","3"
32,0,164.8,229.9,167.3,14.8,2,0,0,98,28.02,96,19.54,108,7.53,2,4,415,0,"0","0","0","0","0","0","6"
91,0,231.8,150.6,269.2,11.6,3,0,0,120,39.41,106,12.8,129,12.11,7,3.13,510,0,"0","0","0","0","0","0","3"
54,33,161.8,273,153.9,13.7,0,0,1,73,27.51,58,23.21,76,6.93,4,3.7,415,0,"0","0","0","1","0","0","3"
37,39,149.7,211.1,114.3,9.2,1,1,1,122,25.45,75,17.94,90,5.14,4,2.48,408,0,"0","0","0","1","0","0","3"
140,0,129.6,246.2,172.1,9.4,3,0,0,79,22.03,99,20.93,124,7.74,10,2.54,415,0,"0","0","0","0","0","0","6"
106,0,204,168.5,164,13.3,3,1,0,84,34.68,61,14.32,102,7.38,3,3.59,510,1,"1","1","1","0","1","0","6"
76,0,165.7,257.4,170.8,10,1,0,0,94,28.17,80,21.88,114,7.69,4,2.7,510,0,"0","0","0","0","0","0","6"
65,23,224.2,189.6,222.8,9.8,0,0,1,106,38.11,100,16.12,75,10.03,4,2.65,415,0,"0","0","0","0","0","0","3"
183,0,108.3,183.6,176.6,13.5,0,0,0,87,18.41,116,15.61,109,7.95,2,3.65,510,0,"0","0","0","0","0","0","6"
139,0,203.2,152.5,197.8,9.7,2,0,0,81,34.54,99,12.96,76,8.9,3,2.62,510,0,"0","0","0","0","0","0","6"
128,34,142.3,194.8,239.3,16,1,0,1,73,24.19,79,16.56,81,10.77,6,4.32,408,0,"0","0","0","1","0","0","3"
74,0,225.2,215.1,241.8,9.1,2,0,0,93,38.28,120,18.28,95,10.88,2,2.46,415,0,"0","0","0","0","0","0","6"
126,0,103.7,127,329.3,14.4,0,0,0,93,17.63,107,10.8,66,14.82,1,3.89,415,0,"0","0","0","0","0","0","3"
116,0,137.4,120,130.3,12.4,3,0,0,126,23.36,94,10.2,64,5.86,2,3.35,510,0,"0","0","0","0","0","0","6"
57,0,161,208,208.1,8.4,3,0,0,113,27.37,134,17.68,81,9.36,4,2.27,415,0,"0","0","0","0","0","0","6"
118,35,256.3,258.1,215.5,11.7,1,0,1,119,43.57,91,21.94,130,9.7,1,3.16,510,0,"0","0","0","0","0","0","3"
118,0,267.8,316.4,208.6,14.4,5,0,0,145,45.53,121,26.89,91,9.39,11,3.89,415,1,"1","1","1","0","1","0","6"
88,0,55.6,242.7,176.3,11.3,0,0,0,65,9.45,121,20.63,134,7.93,4,3.05,415,0,"0","0","0","1","0","0","6"
176,0,169.5,112.9,56.6,8.7,0,0,0,151,28.82,84,9.6,99,2.55,4,2.35,415,0,"0","0","0","1","0","0","6"
129,0,137.8,225.8,145.2,10.2,1,0,0,120,23.43,110,19.19,95,6.53,6,2.75,415,1,"0","0","0","0","0","0","6"
111,0,132.6,221.1,127.9,12.7,4,0,0,125,22.54,67,18.79,101,5.76,2,3.43,415,1,"1","1","1","0","0","0","6"
49,0,119.3,215.1,178.7,11.1,1,0,0,117,20.28,109,18.28,90,8.04,1,3,510,0,"0","0","0","0","0","0","6"
75,27,117.5,206.8,194.4,4.2,3,0,1,102,19.98,127,17.58,114,8.75,7,1.13,510,0,"0","0","0","1","0","0","3"
159,0,114.8,192.6,259,12.2,0,0,0,98,19.52,101,16.37,108,11.66,5,3.29,510,0,"0","0","0","0","0","0","6"
123,0,150,89.8,326,11.1,3,0,0,98,25.5,95,7.63,91,14.67,3,3,415,0,"0","0","0","0","0","0","3"
97,0,215.3,242.4,279.8,12.1,0,0,0,58,36.6,91,20.6,105,12.59,9,3.27,415,0,"0","0","0","0","0","0","6"
67,30,186.2,286.7,164.3,12.9,2,0,1,117,31.65,76,24.37,113,7.39,3,3.48,510,0,"0","0","0","0","0","0","3"
93,0,267.9,223,262.7,11.3,3,0,0,114,45.54,74,18.96,90,11.82,3,3.05,408,1,"1","1","1","0","1","0","6"
107,0,212.1,150.1,219.8,7.7,3,0,0,95,36.06,88,12.76,111,9.89,2,2.08,415,0,"0","0","0","0","0","0","6"
145,0,187.9,197,167,4.8,2,0,0,110,31.94,117,16.75,108,7.52,4,1.3,415,0,"0","0","0","0","0","0","6"
102,0,200.6,152.5,199.4,7.7,3,0,0,106,34.1,127,12.96,128,8.97,2,2.08,408,0,"0","0","0","0","0","0","6"
38,36,115.4,166.2,184.7,15.2,2,0,1,98,19.62,83,14.13,79,8.31,6,4.1,408,0,"0","0","0","1","0","0","3"
61,33,270.7,200.7,201.7,10.9,3,0,1,53,46.02,116,17.06,102,9.08,3,2.94,415,0,"0","0","0","0","0","0","3"
110,0,188,90.5,150.3,15.3,3,0,0,127,31.96,118,7.69,64,6.76,3,4.13,510,0,"0","0","0","0","0","0","3"
77,0,233.8,266.5,212.7,7.6,2,0,0,104,39.75,94,22.65,104,9.57,3,2.05,510,0,"0","1","1","0","0","0","6"
127,19,129.7,160.8,265,12.2,2,0,1,115,22.05,101,13.67,63,11.93,3,3.29,510,0,"0","0","0","1","0","0","3"
127,0,245.2,217.2,243.1,13.9,0,0,0,91,41.68,92,18.46,128,10.94,6,3.75,510,1,"0","0","0","0","0","0","6"
107,0,234.1,163.1,282.5,10,1,1,0,91,39.8,105,13.86,100,12.71,3,2.7,510,0,"0","0","0","0","1","0","3"
59,0,107.8,216.6,217.5,9.9,2,0,0,113,18.33,125,18.41,92,9.79,3,2.67,408,0,"0","0","0","0","0","0","6"
64,0,168,192.4,166.5,10.1,2,0,0,116,28.56,94,16.35,98,7.49,3,2.73,415,0,"0","0","0","0","0","0","6"
85,0,144.4,264.6,185.4,9.9,1,0,0,88,24.55,105,22.49,94,8.34,3,2.67,408,0,"0","0","0","0","0","0","6"
44,0,202.6,163,268.1,8.3,0,0,0,89,34.44,96,13.86,151,12.06,3,2.24,415,0,"0","0","0","0","0","0","6"
99,0,54.8,173,195.1,7.5,1,0,0,92,9.32,103,14.71,125,8.78,3,2.03,408,0,"0","0","0","1","0","0","6"
78,0,103.5,117.9,201,12,4,0,0,115,17.6,102,10.02,94,9.05,3,3.24,415,1,"1","1","1","1","0","0","3"
107,28,201.8,304.9,225.6,11.9,1,0,1,79,34.31,128,25.92,133,10.15,8,3.21,510,0,"0","0","0","0","0","0","3"
38,0,149,49.2,163.3,13.9,0,0,0,92,25.33,78,4.18,93,7.35,11,3.75,510,0,"0","0","0","1","0","0","3"
101,0,253.2,237.9,154.3,9.7,4,0,0,89,43.04,114,20.22,85,6.94,7,2.62,415,0,"1","0","0","0","0","0","6"
147,0,212.8,204.1,156.2,10.2,1,0,0,79,36.18,91,17.35,113,7.03,2,2.75,408,0,"0","0","0","0","0","0","6"
173,0,291.8,214.3,151.2,9.9,0,0,0,143,49.61,134,18.22,119,6.8,2,2.67,510,1,"1","1","1","0","0","0","6"
59,0,159.5,167.2,138.6,10.2,0,0,0,96,27.12,123,14.21,106,6.24,4,2.75,408,0,"0","0","0","0","0","0","6"
52,0,251.4,196.6,192,11,0,1,0,118,42.74,80,16.71,53,8.64,2,2.97,510,1,"0","1","1","0","1","0","6"
84,38,193,153.6,260.4,7.4,2,0,1,106,32.81,106,13.06,87,11.72,5,2,408,0,"0","0","0","0","0","0","3"
217,0,176.4,158.8,306.6,9.3,4,0,0,115,29.99,128,13.5,107,13.8,3,2.51,408,0,"0","0","0","0","0","0","3"
90,0,113.2,189.3,271.8,14.1,3,0,0,108,19.24,63,16.09,124,12.23,4,3.81,415,0,"0","0","0","0","0","0","3"
72,29,139.8,138.2,221,5.5,0,1,1,114,23.77,91,11.75,88,9.95,6,1.49,510,0,"0","0","0","1","0","0","3"
75,28,200.6,164.1,169.6,2.5,1,0,1,96,34.1,111,13.95,153,7.63,5,0.68,510,0,"0","0","0","1","0","0","3"
45,38,196.8,254.2,261.8,7.7,1,0,1,92,33.46,108,21.61,85,11.78,2,2.08,408,0,"0","0","0","0","0","0","3"
105,0,146.4,225.1,230.1,8.5,1,0,0,81,24.89,80,19.13,117,10.35,2,2.3,408,0,"0","0","0","0","0","0","6"
117,0,143.3,211.3,185.2,11.5,1,0,0,103,24.36,108,17.96,96,8.33,3,3.11,415,0,"0","0","0","0","0","0","6"
36,0,177.9,224.6,306.3,10.8,2,0,0,129,30.24,87,19.09,102,13.78,6,2.92,408,0,"0","0","0","0","0","0","3"
49,0,237.8,208.9,167.8,15.6,2,1,0,92,40.43,119,17.76,86,7.55,6,4.21,415,1,"1","1","1","0","1","0","6"
63,0,132.9,67,160.4,9.9,3,0,0,122,22.59,62,5.7,121,7.22,2,2.67,510,0,"0","0","0","1","0","0","3"
111,0,176.4,201,150.4,11.2,0,0,0,62,29.99,124,17.09,138,6.77,2,3.02,510,0,"0","0","0","0","0","0","6"
96,26,175.8,206.6,178,11.1,2,0,1,96,29.89,84,17.56,105,8.01,2,3,415,0,"0","0","0","0","0","0","3"
83,0,271.5,216.3,121.1,11.7,1,1,0,87,46.16,126,18.39,105,5.45,4,3.16,408,0,"1","1","1","0","1","0","6"
107,0,230.4,257.4,107.3,8.5,1,0,0,65,39.17,80,21.88,88,4.83,3,2.3,415,0,"0","0","0","0","0","0","6"
55,0,269.6,171.7,219,8.2,1,1,0,121,45.83,91,14.59,98,9.86,6,2.21,415,0,"0","0","0","0","1","0","6"
130,0,213.1,206.2,163.4,8.9,0,0,0,105,36.23,108,17.53,93,7.35,3,2.4,415,0,"0","0","0","0","0","0","6"
97,0,209.2,0,175.4,11.8,1,0,0,134,35.56,0,0,94,7.89,6,3.19,415,0,"0","0","0","0","0","0","3"
66,36,106.7,209.8,190.4,12.1,1,0,1,76,18.14,77,17.83,117,8.57,2,3.27,415,0,"0","0","0","1","0","0","3"
83,36,95.9,261.6,228.6,13.3,0,0,1,87,16.3,105,22.24,109,10.29,4,3.59,510,0,"0","0","0","1","0","0","3"
142,40,237.4,175.9,210.3,9.2,3,0,1,105,40.36,93,14.95,110,9.46,3,2.48,510,0,"0","0","0","0","0","0","3"
72,0,196.5,158.6,269.3,6.8,0,0,0,88,33.41,129,13.48,118,12.12,3,1.84,415,0,"0","0","0","0","0","0","3"
81,0,203.5,289.6,212.9,8.7,3,0,0,89,34.6,69,24.62,71,9.58,3,2.35,510,0,"0","0","0","0","0","0","6"
92,25,134,206,180.6,9.7,0,0,1,112,22.78,111,17.51,118,8.13,4,2.62,510,0,"0","0","0","0","0","0","3"
34,0,128.8,208.7,202.1,14,1,0,0,80,21.9,93,17.74,103,9.09,7,3.78,408,0,"0","0","0","0","0","0","6"
84,0,217.1,236,118.3,9.4,1,0,0,99,36.91,68,20.06,120,5.32,4,2.54,408,0,"0","0","0","0","0","0","6"
190,0,150.9,268.6,179.9,14.7,1,0,0,86,25.65,129,22.83,73,8.1,1,3.97,408,0,"0","0","0","0","0","0","6"
78,0,147.1,199.7,160.7,13.7,0,0,0,80,25.01,100,16.97,106,7.23,7,3.7,415,0,"0","0","0","0","0","0","6"
84,0,216.1,197.5,217.8,9.8,1,0,0,114,36.74,107,16.79,104,9.8,3,2.65,415,0,"0","0","0","1","0","0","6"
67,0,176.2,236,152.5,10.6,1,0,0,120,29.95,138,20.06,104,6.86,4,2.86,408,0,"0","0","0","0","0","0","6"
111,0,142.3,122.8,229.5,12.8,2,0,0,75,24.19,106,10.44,94,10.33,9,3.46,408,0,"0","0","0","0","0","0","3"
128,0,199.3,194.8,298.2,14.3,4,0,0,86,33.88,102,16.56,82,13.42,2,3.86,510,0,"0","0","0","0","1","0","3"
95,20,165.7,215.6,243.3,9.8,0,0,1,78,28.17,94,18.33,91,10.95,6,2.65,408,0,"0","0","0","0","0","0","3"
141,28,206.9,264.4,171.8,9.3,2,0,1,126,35.17,126,22.47,124,7.73,11,2.51,415,0,"0","0","0","0","0","0","3"
124,0,184.8,175.1,158.2,10.5,1,0,0,74,31.42,84,14.88,95,7.12,6,2.84,510,0,"0","0","0","0","0","0","6"
91,0,133.7,195.3,280.5,5.9,0,0,0,75,22.73,87,16.6,89,12.62,2,1.59,408,0,"0","0","0","0","0","0","3"
137,0,127,323.2,143.9,7.5,1,0,0,107,21.59,75,27.47,127,6.48,2,2.03,415,0,"0","0","0","0","0","0","6"
13,0,303.2,170.5,227.6,11.5,0,0,0,133,51.54,86,14.49,80,10.24,3,3.11,415,1,"1","1","1","0","0","0","6"
164,0,123.3,170,165.9,12.7,1,0,0,78,20.96,85,14.45,78,7.47,2,3.43,415,0,"0","0","0","0","0","0","6"
82,0,199.3,193.4,254.4,7,0,0,0,112,33.88,120,16.44,117,11.45,10,1.89,415,0,"0","0","0","0","0","0","6"
117,0,134.7,180,200.9,7.7,1,0,0,121,22.9,83,15.3,104,9.04,3,2.08,415,0,"0","0","0","0","0","0","6"
43,0,84.2,80.8,196.1,10.8,1,0,0,134,14.31,103,6.87,79,8.82,2,2.92,415,0,"0","0","0","1","0","0","3"
192,0,221.6,285.2,167.4,12.7,4,0,0,101,37.67,50,24.24,83,7.53,6,3.43,415,0,"0","0","0","0","1","0","6"
87,0,231.3,171.7,67.7,13,1,0,0,105,39.32,108,14.59,136,3.05,6,3.51,510,0,"0","0","0","0","0","0","6"
75,0,314.6,169.8,285.1,5.7,2,0,0,102,53.48,86,14.43,100,12.83,3,1.54,415,1,"1","1","1","0","0","0","3"
125,0,191.6,205.6,210.2,9.2,2,0,0,115,32.57,108,17.48,123,9.46,3,2.48,408,0,"0","0","0","0","0","0","6"
56,30,127.1,172.1,194.6,12.1,1,0,1,89,21.61,116,14.63,111,8.76,3,3.27,415,0,"0","0","0","0","0","0","3"
128,32,223.5,188.8,154.9,9.4,2,1,1,81,38,74,16.05,101,6.97,2,2.54,510,1,"1","1","0","0","0","0","3"
92,29,201.3,203.7,129.9,6.4,1,0,1,130,34.22,115,17.31,113,5.85,6,1.73,415,1,"0","0","0","1","0","0","3"
148,26,158.7,160.5,218.3,9.9,1,0,1,91,26.98,127,13.64,88,9.82,3,2.67,415,0,"0","0","0","0","0","0","3"
152,0,141.5,263,207.1,3.4,2,0,0,102,24.06,94,22.36,113,9.32,4,0.92,415,0,"0","0","0","0","0","0","6"
82,0,266.9,229.7,251.7,11,3,0,0,83,45.37,74,19.52,99,11.33,6,2.97,415,1,"1","1","1","0","0","0","6"
64,43,118.4,144.1,158.1,8.5,1,0,1,100,20.13,108,12.25,91,7.11,6,2.3,415,0,"0","0","0","1","0","0","3"
121,30,198.4,75.3,181.2,5.8,3,0,1,129,33.73,77,6.4,77,8.15,3,1.57,408,1,"0","0","0","1","0","0","3"
47,0,155.3,188.2,247,12.3,3,0,0,116,26.4,85,16,73,11.12,4,3.32,415,0,"0","0","0","0","0","0","3"
67,20,230.6,189.1,162.2,9.4,1,0,1,40,39.2,58,16.07,115,7.3,2,2.54,510,0,"0","0","0","0","0","0","3"
121,35,193.8,197.6,218.8,5.9,0,0,1,62,32.95,97,16.8,95,9.85,4,1.59,510,0,"0","0","0","1","0","0","3"
150,0,136.6,209.4,161.1,12.2,4,0,0,112,23.22,81,17.8,78,7.25,2,3.29,415,1,"1","1","1","0","0","0","6"
170,0,259.9,245,134.4,8.4,3,1,0,68,44.18,122,20.83,121,6.05,3,2.27,510,0,"1","1","1","0","1","0","6"
118,0,189.3,233.5,270.9,10,2,0,0,119,32.18,112,19.85,104,12.19,1,2.7,408,0,"0","0","0","0","0","0","6"
50,35,192.6,135.2,216.2,7.9,2,0,1,97,32.74,101,11.49,101,9.73,2,2.13,415,0,"0","0","0","0","0","0","3"
99,0,95.4,207.2,136,5.6,1,0,0,105,16.22,101,17.61,117,6.12,5,1.51,408,0,"0","0","0","1","0","0","6"
64,0,216.9,211,179.8,11.4,3,0,0,78,36.87,115,17.94,116,8.09,5,3.08,510,0,"0","0","0","0","0","0","6"
92,0,265.6,180.7,211.1,8.6,1,0,0,82,45.15,75,15.36,113,9.5,2,2.32,408,0,"0","0","1","0","0","0","6"
117,0,168.8,241.4,204.8,15.5,0,0,0,137,28.7,107,20.52,106,9.22,4,4.19,415,0,"0","0","0","0","0","0","6"
45,29,135.8,222.5,235.6,7.9,2,0,1,104,23.09,101,18.91,92,10.6,6,2.13,510,0,"0","0","0","0","0","0","3"
59,0,182.5,204.7,229.9,11.3,4,0,0,104,31.03,95,17.4,100,10.35,8,3.05,510,0,"0","0","0","0","0","0","6"
183,8,86.5,285.2,180.4,8.7,2,0,1,119,14.71,97,24.24,133,8.12,2,2.35,415,0,"0","0","0","1","0","0","6"
125,0,137.1,209.8,238.4,8.6,1,0,0,94,23.31,83,17.83,114,10.73,4,2.32,408,0,"0","0","0","0","0","0","6"
99,0,238.4,246.5,198.4,12.4,3,0,0,96,40.53,130,20.95,117,8.93,4,3.35,510,0,"0","1","0","0","0","0","6"
120,0,202,184.3,176,7.4,2,1,0,123,34.34,78,15.67,89,7.92,2,2,408,1,"1","1","1","0","1","0","6"
177,0,232.8,175.2,212.2,12.5,2,0,0,106,39.58,97,14.89,77,9.55,7,3.38,415,0,"0","0","0","0","0","0","6"
94,38,170.1,193.3,105.9,12.8,1,0,1,124,28.92,116,16.43,73,4.77,4,3.46,408,0,"0","0","0","1","0","0","3"
97,0,217.6,320.5,150.7,4.2,0,0,0,81,36.99,51,27.24,110,6.78,3,1.13,408,0,"0","0","0","0","0","0","6"
86,0,190.5,179.6,258.5,10.1,3,0,0,115,32.39,130,15.27,89,11.63,5,2.73,510,0,"0","0","0","0","0","0","3"
90,0,37.8,155.3,175,14.2,3,0,0,80,6.43,105,13.2,111,7.88,5,3.83,415,0,"0","0","0","1","0","0","6"
69,0,185.3,219.1,243.6,5.5,0,0,0,91,31.5,88,18.62,107,10.96,5,1.49,408,0,"0","0","0","0","0","0","6"
171,25,223.2,183.2,150.8,10.2,3,0,1,77,37.94,118,15.57,90,6.79,3,2.75,415,0,"0","0","0","0","0","0","3"
97,0,146,203,151.8,13.3,1,0,0,121,24.82,141,17.26,120,6.83,2,3.59,415,0,"0","0","0","0","0","0","6"
144,0,61.6,77.1,173,8.2,4,0,0,117,10.47,85,6.55,99,7.79,7,2.21,408,1,"1","1","1","1","0","0","3"
169,0,57.1,199.7,274.7,6.5,3,1,0,98,9.71,78,16.97,103,12.36,6,1.76,415,0,"0","0","0","0","0","0","6"
83,0,202.3,201.5,101.7,6.8,0,0,0,87,34.39,111,17.13,82,4.58,4,1.84,408,0,"0","0","0","0","0","0","6"
142,0,232.5,181.8,203.1,10.4,4,0,0,74,39.53,142,15.45,86,9.14,6,2.81,415,0,"0","0","0","0","0","0","6"
197,0,127.3,222.3,173.9,13.7,5,1,0,80,21.64,115,18.9,95,7.83,5,3.7,415,1,"1","1","1","0","1","0","6"
73,0,214.2,196.8,157.9,5.9,0,0,0,90,36.41,78,16.73,112,7.11,8,1.59,415,0,"0","0","0","0","0","0","6"
169,0,235.7,136.9,220.9,13.3,1,0,0,79,40.07,85,11.64,97,9.94,10,3.59,415,0,"0","0","0","0","0","0","6"
64,0,97.2,186.2,189,10.4,2,0,0,80,16.52,90,15.83,92,8.5,6,2.81,415,0,"0","0","0","0","0","0","6"
122,0,140.1,231.4,188.1,11.2,2,0,0,120,23.82,128,19.67,127,8.46,5,3.02,415,0,"0","0","0","0","0","0","6"
108,0,291.6,221.1,229.2,14,2,0,0,99,49.57,93,18.79,110,10.31,9,3.78,415,1,"1","1","1","0","0","0","6"
